Year,Value
1960,-0.8578919930649747
1961,1.6424570035568355
1962,1.7048095337638778
1963,1.1847128765388997
1964,1.378163950771147
1965,-0.8117994853592434
1966,-2.9632547550771546
1967,-3.6027113886114455
1968,-1.4881649752837491
1969,-0.8374914092464399
1970,-0.28833835118862927
1971,0.7180030207137811
1972,0.5440674667923715
1973,-1.1295439348143137
1974,-2.6775593420224895
1975,-2.5662764918470433
1976,-3.603438990126047
1977,-1.8908239612797542
1978,-1.7056525316345321
1979,-1.1839636355257048
1980,0.9481693469328608
1981,-0.6225464623755591
1982,-0.9926306632238555
1983,-3.2260508842990996
1984,-4.144668191121276
1985,-4.704018537139011
1986,-3.4266339895954188
1987,-2.7440908659227192
1988,-1.486479773011815
1989,0.18383406220670917
1990,-1.3287410405353595
1991,-1.7147286570340472
1992,-4.03479845735175
1993,-5.341325924970441
1994,-4.408656470275292
1995,-4.824760119539409
1996,-2.769884487288201
1997,-2.1274137840239393
1998,-2.1795412506797462
1999,-2.5286961074055387
2000,-3.390586798626923
2001,-4.768482669055156
2002,-6.200742126794139
2003,-6.5850615346384505
2004,-5.790631825478885
2005,-4.390506960682774
2006,-3.829051563594464
2007,-1.714677801843776
2008,-2.90048198221983
2009,-3.3880224354286193
2010,-5.777587516276293
2011,-6.8700419497449055
2012,-6.741530021603611
2013,-7.153329909343627
2014,-4.680452618908067
2015,-4.379114694611815
2016,-3.3199339631561324
2017,-4.074130198432839
2018,-5.183101414835115
2019,-7.2013199386054305
2020,-8.259863637293947
2021,-8.657780937750925
2022,-7.578355310947255
2023,-7.516322492326742
2024,-5.209219115630077
2025,-3.821748025048262
