Year,Value
1960,-0.2523169997683411
1961,2.8225018905457593
1962,4.0543202907305735
1963,4.78628110398189
1964,5.005090432771009
1965,3.4182838906102937
1966,2.304009180896675
1967,2.409835301887154
1968,4.055425988848654
1969,5.204306854373801
1970,7.262242558143973
1971,11.029602999474962
1972,12.219568672648098
1973,13.08114723060737
1974,12.671423992723897
1975,11.357613131984579
1976,10.795282645758611
1977,11.391027912409827
1978,10.89859739706645
1979,13.372106744857566
1980,15.986401626256436
1981,18.551572809247403
1982,21.59154722841861
1983,21.29818942001178
1984,20.62315127386715
1985,19.358074575506194
1986,19.66685539096824
1987,18.42647430224607
1988,19.063106571622836
1989,21.608366295954216
1990,23.00508902589934
1991,26.407799662370767
1992,28.34707707625336
1993,28.536828326857762
1994,29.342877350207917
1995,28.19597574923548
1996,27.21878538099022
1997,26.71055122964334
1998,26.987455911406702
1999,29.568967743066835
2000,31.632641511231633
2001,34.32660438515995
2002,35.99433408059088
2003,36.93711765286167
2004,36.54692617448383
2005,35.63721711844142
2006,34.46631747971757
2007,34.62089192299074
2008,35.3081415527892
2009,37.34924701893663
2010,40.23994587070635
2011,42.29669148719812
2012,44.82805446446377
2013,45.34051664263543
2014,44.77713466685935
2015,43.954351536775214
2016,43.45852281372261
2017,42.537765040118906
2018,44.026326345710295
2019,44.915759041858955
2020,48.23897032809111
2021,51.22185216572201
2022,52.990861122485235
2023,52.795236082553316
2024,52.12743707017607
2025,52.028480900426395
