Year,Value
1960,-0.2217763883292891
1961,1.1727167406079635
1962,1.7289975870698782
1963,4.312327501018187
1964,3.200415211189283
1965,5.35417244845301
1966,4.019501530195511
1967,5.02483812934331
1968,5.6642274200060365
1969,5.63943586802585
1970,5.96437624935532
1971,5.67454448731455
1972,4.4226350104062355
1973,5.048290314987532
1974,5.245786070763163
1975,5.905778515501099
1976,5.555681752160178
1977,6.843432030843042
1978,8.176143638007073
1979,9.54083201651086
1980,10.475217342125994
1981,10.90664215086663
1982,11.563528705890445
1983,12.920707180726914
1984,14.321156309176624
1985,14.41835163345923
1986,15.470799018717626
1987,14.3996204962853
1988,15.278651466892677
1989,15.118796604200352
1990,14.861095359552719
1991,14.928010049628792
1992,14.926478962737393
1993,14.560362063050226
1994,15.350016026805747
1995,15.63827321318935
1996,16.257761190123677
1997,16.338105725832353
1998,18.134586096736342
1999,19.407254454735313
2000,19.945748059122476
2001,20.602436658023908
2002,22.136635186731457
2003,23.718298642623065
2004,24.406041520221546
2005,25.088613004486554
2006,24.682462599602488
2007,24.824237436005927
2008,24.588289535465307
2009,24.068859463381738
2010,24.88856031460013
2011,24.15925080886976
2012,24.574649258985815
2013,23.757430104762225
2014,24.9214396073701
2015,24.66657308731618
2016,25.655113103940618
2017,26.95828559283306
2018,28.44039283724093
2019,28.308938776488837
2020,29.454215366635975
2021,31.06355660306525
2022,31.752141997252206
2023,33.98968071692204
2024,33.983332651887785
2025,33.73672950066494
